day; month; year; hour; minute; temperature;   humidity; dewpoint ;  barometer;  windspeed ;  gustspeed ;direction ; rainlastmin; dailyrain;  monthlyrain;   yearlyrain;  heatindex
1;11;2011;0;1;11.0;84;8.4;1000.0;4;5;237;0.0;0.0;0.0;860.5;11.0
1;11;2011;0;2;11.0;84;8.4;1000.0;3;6;232;0.4;0.4;0.4;860.8;11.0
1;11;2011;0;3;11.0;84;8.4;1000.0;4;7;237;0.0;0.4;0.4;860.8;11.0
1;11;2011;0;4;11.0;84;8.4;1000.0;5;9;220;0.0;0.4;0.4;860.8;11.0
1;11;2011;0;5;10.9;84;8.3;1000.0;5;6;233;0.0;0.4;0.4;860.8;10.9
1;11;2011;0;6;10.9;84;8.3;1000.0;4;7;238;0.0;0.4;0.4;860.8;10.9
1;11;2011;0;7;10.9;84;8.3;1000.0;4;7;236;0.0;0.4;0.4;860.8;10.9
1;11;2011;0;8;10.9;84;8.3;1000.0;4;7;243;0.0;0.4;0.4;860.8;10.9
1;11;2011;0;9;10.9;84;8.3;1000.0;4;6;238;0.0;0.4;0.4;860.8;10.9
1;11;2011;0;10;10.9;84;8.3;1000.0;4;5;236;0.0;0.4;0.4;860.8;10.9
1;11;2011;0;11;10.9;84;8.3;1000.0;4;7;231;0.0;0.4;0.4;860.8;10.9
1;11;2011;0;12;10.9;84;8.3;1000.0;5;7;232;0.0;0.4;0.4;860.8;10.9
1;11;2011;0;13;10.9;84;8.3;1000.0;4;6;231;0.0;0.4;0.4;860.8;10.9
1;11;2011;0;14;10.9;84;8.3;1000.2;4;6;239;0.0;0.4;0.4;860.8;10.9
1;11;2011;0;15;10.9;84;8.3;1001.0;4;7;231;0.0;0.4;0.4;860.8;10.9
1;11;2011;0;16;10.9;84;8.3;1001.0;4;5;233;0.0;0.4;0.4;860.8;10.9
1;11;2011;0;17;10.9;84;8.3;1001.0;3;6;227;0.0;0.4;0.4;860.8;10.9
1;11;2011;0;18;10.9;84;8.3;1001.0;3;4;234;0.0;0.4;0.4;860.8;10.9
1;11;2011;0;19;10.9;84;8.3;1001.0;3;4;234;0.0;0.4;0.4;860.8;10.9
1;11;2011;0;20;10.9;84;8.3;1001.0;3;5;234;0.0;0.4;0.4;860.8;10.9
1;11;2011;0;21;10.9;84;8.3;1001.0;2;4;234;0.0;0.4;0.4;860.8;10.9
1;11;2011;0;22;10.9;84;8.3;1001.0;2;5;234;0.0;0.4;0.4;860.8;10.9
1;11;2011;0;23;10.9;84;8.3;1001.0;2;2;234;0.0;0.4;0.4;860.8;10.9
1;11;2011;0;24;10.9;84;8.3;1001.0;2;5;234;0.0;0.4;0.4;860.8;10.9
1;11;2011;0;25;10.9;84;8.3;1001.0;2;4;234;0.0;0.4;0.4;860.8;10.9
1;11;2011;0;26;10.8;83;8.0;1001.0;2;2;234;0.0;0.4;0.4;860.8;10.8
1;11;2011;0;27;10.9;84;8.3;1001.0;2;5;234;0.0;0.4;0.4;860.8;10.9
1;11;2011;0;28;10.8;84;8.2;1001.0;2;5;234;0.0;0.4;0.4;860.8;10.8
1;11;2011;0;29;10.8;84;8.2;1001.0;2;5;234;0.0;0.4;0.4;860.8;10.8
1;11;2011;0;30;10.8;84;8.2;1001.0;3;5;234;0.0;0.4;0.4;860.8;10.8
1;11;2011;0;31;10.8;83;8.0;1001.0;2;4;234;0.0;0.4;0.4;860.8;10.8
1;11;2011;0;32;10.8;83;8.0;1001.0;2;2;234;0.0;0.4;0.4;860.8;10.8
1;11;2011;0;33;10.8;83;8.0;1001.0;2;2;234;0.0;0.4;0.4;860.8;10.8
1;11;2011;0;34;10.8;83;8.0;1001.0;2;2;234;0.0;0.4;0.4;860.8;10.8
1;11;2011;0;35;10.8;83;8.0;1001.0;1;2;234;0.0;0.4;0.4;860.8;10.8
1;11;2011;0;36;10.8;83;8.0;1001.0;1;2;234;0.0;0.4;0.4;860.8;10.8
1;11;2011;0;37;10.8;83;8.0;1001.0;0;0;234;0.0;0.4;0.4;860.8;10.8
1;11;2011;0;38;10.7;83;7.9;1001.0;0;2;234;0.0;0.4;0.4;860.8;10.7
1;11;2011;0;39;10.7;82;7.8;1001.0;1;1;234;0.0;0.4;0.4;860.8;10.7
1;11;2011;0;40;10.7;82;7.8;1001.0;0;0;234;0.0;0.4;0.4;860.8;10.7
1;11;2011;0;41;10.7;82;7.8;1001.0;0;0;234;0.0;0.4;0.4;860.8;10.7
1;11;2011;0;42;10.7;82;7.8;1001.0;0;0;234;0.0;0.4;0.4;860.8;10.7
1;11;2011;0;43;10.7;82;7.8;1001.0;0;0;234;0.0;0.4;0.4;860.8;10.7
